2024-11-06 12:05:18,minikube,11.59%,60.18%
2024-11-06 12:05:18,me-load_balancer-1,0.19%,0.82%
2024-11-06 12:05:18,me-blog-1,0.01%,13.88%
2024-11-06 12:05:31,minikube,9.72%,60.11%
2024-11-06 12:05:31,me-load_balancer-1,0.20%,0.82%
2024-11-06 12:05:31,me-blog-1,0.00%,13.88%
2024-11-06 12:05:43,minikube,11.34%,60.11%
2024-11-06 12:05:43,me-load_balancer-1,0.15%,0.82%
2024-11-06 12:05:43,me-blog-1,0.99%,32.50%
2024-11-06 12:05:56,minikube,8.17%,60.08%
2024-11-06 12:05:56,me-load_balancer-1,0.13%,0.82%
2024-11-06 12:05:56,me-blog-1,1.11%,39.75%
2024-11-06 12:06:08,minikube,9.20%,60.32%
2024-11-06 12:06:08,me-load_balancer-1,0.21%,0.82%
2024-11-06 12:06:08,me-blog-1,0.97%,74.25%
2024-11-06 12:06:21,minikube,8.80%,60.13%
2024-11-06 12:06:21,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:06:21,me-blog-1,1.41%,77.96%
2024-11-06 12:06:34,minikube,13.01%,60.18%
2024-11-06 12:06:34,me-load_balancer-1,0.12%,0.82%
2024-11-06 12:06:34,me-blog-1,1.13%,75.06%
2024-11-06 12:06:46,minikube,11.21%,60.17%
2024-11-06 12:06:46,me-load_balancer-1,0.14%,0.82%
2024-11-06 12:06:46,me-blog-1,0.81%,80.21%
2024-11-06 12:06:59,me-blog-2,0.00%,65.02%
2024-11-06 12:06:59,minikube,20.08%,60.15%
2024-11-06 12:06:59,me-load_balancer-1,0.15%,0.83%
2024-11-06 12:06:59,me-blog-1,0.99%,84.34%
2024-11-06 12:07:11,me-blog-2,0.00%,65.02%
2024-11-06 12:07:11,minikube,8.43%,60.17%
2024-11-06 12:07:11,me-load_balancer-1,0.26%,0.83%
2024-11-06 12:07:11,me-blog-1,0.92%,89.52%
2024-11-06 12:07:24,me-blog-2,0.00%,65.02%
2024-11-06 12:07:24,minikube,14.74%,60.15%
2024-11-06 12:07:24,me-load_balancer-1,0.12%,0.84%
2024-11-06 12:07:24,me-blog-1,1.14%,97.98%
2024-11-06 12:07:36,me-blog-2,0.02%,65.02%
2024-11-06 12:07:36,minikube,9.63%,60.14%
2024-11-06 12:07:36,me-load_balancer-1,0.14%,0.84%
2024-11-06 12:07:36,me-blog-1,1.20%,98.51%
2024-11-06 12:07:48,me-blog-2,0.00%,65.02%
2024-11-06 12:07:48,minikube,8.85%,60.17%
2024-11-06 12:07:48,me-load_balancer-1,0.12%,0.84%
2024-11-06 12:07:48,me-blog-1,1.17%,15.39%
2024-11-06 12:08:01,me-blog-2,0.00%,65.02%
2024-11-06 12:08:01,minikube,11.06%,60.16%
2024-11-06 12:08:01,me-load_balancer-1,0.21%,0.84%
2024-11-06 12:08:01,me-blog-1,1.00%,61.56%
2024-11-06 12:08:13,me-blog-2,0.00%,65.02%
2024-11-06 12:08:13,minikube,13.99%,60.22%
2024-11-06 12:08:13,me-load_balancer-1,0.16%,0.84%
2024-11-06 12:08:13,me-blog-1,0.99%,80.02%
2024-11-06 12:08:26,me-blog-3,0.00%,56.17%
2024-11-06 12:08:26,me-blog-2,0.00%,65.02%
2024-11-06 12:08:26,minikube,9.40%,60.15%
2024-11-06 12:08:26,me-load_balancer-1,0.11%,0.84%
2024-11-06 12:08:26,me-blog-1,0.51%,78.63%
2024-11-06 12:08:39,me-blog-3,0.01%,56.17%
2024-11-06 12:08:39,me-blog-2,0.01%,65.02%
2024-11-06 12:08:39,minikube,9.03%,60.17%
2024-11-06 12:08:39,me-load_balancer-1,0.16%,0.84%
2024-11-06 12:08:39,me-blog-1,0.53%,84.79%
2024-11-06 12:08:51,me-blog-3,0.00%,56.17%
2024-11-06 12:08:51,me-blog-2,0.00%,65.02%
2024-11-06 12:08:51,minikube,8.20%,60.20%
2024-11-06 12:08:51,me-load_balancer-1,0.13%,0.84%
2024-11-06 12:08:51,me-blog-1,0.33%,89.59%
2024-11-06 12:09:03,me-blog-3,0.00%,56.17%
2024-11-06 12:09:03,me-blog-2,0.00%,65.02%
2024-11-06 12:09:03,minikube,31.71%,60.18%
2024-11-06 12:09:03,me-load_balancer-1,0.18%,0.84%
2024-11-06 12:09:03,me-blog-1,1.32%,98.05%
2024-11-06 12:09:16,me-blog-3,0.00%,56.17%
2024-11-06 12:09:16,me-blog-2,0.00%,65.02%
2024-11-06 12:09:16,minikube,10.39%,60.15%
2024-11-06 12:09:16,me-load_balancer-1,0.10%,0.84%
2024-11-06 12:09:16,me-blog-1,0.38%,98.58%
2024-11-06 12:09:28,me-blog-3,0.00%,56.17%
2024-11-06 12:09:28,me-blog-2,0.00%,65.02%
2024-11-06 12:09:28,minikube,17.24%,60.18%
2024-11-06 12:09:28,me-load_balancer-1,0.20%,0.84%
2024-11-06 12:09:28,me-blog-1,0.76%,98.28%
2024-11-06 12:09:40,me-blog-3,0.00%,56.17%
2024-11-06 12:09:40,me-blog-2,0.01%,65.02%
2024-11-06 12:09:40,minikube,11.50%,60.19%
2024-11-06 12:09:40,me-load_balancer-1,0.12%,0.84%
2024-11-06 12:09:40,me-blog-1,1.00%,98.59%
2024-11-06 12:09:53,me-blog-3,0.00%,56.17%
2024-11-06 12:09:53,me-blog-2,0.01%,65.02%
2024-11-06 12:09:53,minikube,10.68%,60.14%
2024-11-06 12:09:53,me-load_balancer-1,0.18%,0.84%
2024-11-06 12:09:53,me-blog-1,0.01%,13.57%
2024-11-06 12:10:05,minikube,17.98%,60.17%
2024-11-06 12:10:05,me-load_balancer-1,0.17%,0.85%
2024-11-06 12:10:05,me-blog-1,0.00%,14.05%
2024-11-06 12:10:17,minikube,10.09%,60.18%
2024-11-06 12:10:17,me-load_balancer-1,0.16%,0.85%
2024-11-06 12:10:17,me-blog-1,0.00%,14.05%
2024-11-06 12:10:29,minikube,9.89%,60.18%
2024-11-06 12:10:29,me-load_balancer-1,0.16%,0.85%
2024-11-06 12:10:29,me-blog-1,0.00%,14.05%
2024-11-06 12:10:41,minikube,15.50%,60.18%
2024-11-06 12:10:41,me-load_balancer-1,0.19%,0.85%
2024-11-06 12:10:41,me-blog-1,0.00%,14.05%
